keys,en
"Budowle są tańsze (−2 surowce) i wytrzymalsze (+4 HP). Zapobiegliwy i twardy — głód spada wolniej (−1/dzień), +1 HP.","Buildings are cheaper (−2 resources) and tougher (+4 HP). Provident and tough — hunger drops slower (−1/day), +1 HP."
Budynek jest cały.,The building is intact.
"Budynek jest teraz widoczny na kaflu. Kliknij jego ikonę, aby otworzyć szczegóły: HP, efekt pasywny, akcję, naprawę i rozbiórkę.","The building is now visible on the tile. Click its icon to open the details: HP, passive effect, action, repair and demolition."
Budynek ma pełne HP.,The building has full HP.
Budynek skrzypi groźnie. Odpuszczasz.,The building creaks ominously. You back off.
Budynek: %s - %s%s,Building: %s - %s%s
Budynki,Buildings
Budynki nocą: %s.,Buildings at night: %s.
Budynki wspierają potrzeby nocą: %s.,Buildings support your needs at night: %s.
"Budynki: %d stojących, %d w ruinie","Buildings: %d standing, %d in ruins"
"Budynki: %d stojących, %d w ruinie   ·   Wolne sloty: %d/%d","Buildings: %d standing, %d in ruins   ·   Free slots: %d/%d"
Budynki: %s,Buildings: %s
Budzik wyrywa cię z koszmaru.,The alarm clock rips you out of a nightmare.
Budzisz się w dziczy. Przetrwaj do dnia %d.,You wake up in the wilderness. Survive until day %d.
Budzisz się wypoczęty. +%d zdrowia.,You wake up rested. +%d health.
Budzisz się wypoczęty. +1 energii następnego dnia.,You wake up rested. +1 energy the next day.
Budzisz się wyspany. To był tylko sen?,You wake up well rested. Was it all just a dream?
Bukłak,Waterskin
Burza,Storm
Burza piaskowa,Sandstorm
Bystry nurt pełen ryb i świeżej wody. Czasem wzbiera i zalewa brzegi.,A brisk current full of fish and fresh water. Sometimes it swells and floods the banks.
Błotne Pustkowie,Muddy Wasteland
Błoto klei się do butów. -1 energii następnego dnia.,Mud sticks to your boots. -1 energy the next day.
Błysk w piasku,A glint in the sand
Błędne ogniki,Will-o'-wisps
Błękitna iskra przemyka tuż nad wodą. Drobny cud pośród szarości. +1 zdrowia.,A blue spark darts just above the water. A small wonder amid the grey. +1 health.
"Całe życie przy klawiaturze — dzicz go miażdży. Mniej energii (−2), szybszy głód (+1/dzień), potwory ranią mocniej (+1), budowa droższa (+1 energii), mniej zapasów na start i kruche zdrowie (−1 HP). Jego jedyny atut: chłonie wiedzę jak gąbka — XP +25%.","A whole life at the keyboard — the wilds crush him. Less energy (−2), faster hunger (+1/day), monsters hit harder (+1), building costs more (+1 energy), fewer starting supplies and fragile health (−1 HP). His only edge: he soaks up knowledge like a sponge — XP +25%."
Całodniowa wyprawa za grubym zwierzem.,A day-long expedition after big game.
"Cel jest prosty: przetrwaj do dnia 50. Każdego dnia wydajesz Energię na karty, akcje biomu, budowę, użycie budynków i ruch.

Najważniejsze paski to Zdrowie, Sytość, Nawodnienie i Ciepło. Jeśli sytość, nawodnienie albo ciepło spadną do 0, zaczniesz realnie tracić zdrowie.","The goal is simple: survive until day 50. Each day you spend Energy on cards, biome actions, building, using buildings and movement.

The key bars are Health, Satiety, Hydration and Warmth. If satiety, hydration or warmth drop to 0, you will start losing real health."
Chatka pełna leczniczych ziół.,A hut full of healing herbs.
Chmara drapieżnych owadów wypełzła ze szczelin.,A swarm of predatory insects crawled out of the cracks.
Chmara komarów,Mosquito swarm
Chmara lodowych owadów tnie skórę drobnymi cięciami.,A swarm of icy insects slices your skin with tiny cuts.
"Chmary tłustych much obsiadają zapasy i gnijącą trawę. -2 jedzenia, -1 zdrowia.","Swarms of fat flies settle on your supplies and the rotting grass. -2 food, -1 health."
Choroba,Sickness
Choroba z brudnej wody,Dirty water sickness
Chory ocalały,Sick survivor
Chowasz je ostrożnie na później.,You stash them carefully for later.
Chrust,Kindling
Chrust: Naręcze,Kindling: Armful
Chwiejące się ruiny,Teetering ruins
Chyba już rozumiesz podstawy. Pora wrócić do menu i rozpocząć normalną grę.,You seem to understand the basics now. Time to return to the menu and start a normal game.
Chłodna woda,Cool water
Chłodne miejsce na zapasy. Zwiększa limit jedzenia i spowalnia psucie.,A cool place for supplies. Raises the food cap and slows spoilage.
Chłód otwartego nieba,The chill of the open sky
Cicha praca nocą,Quiet work at night
"Ciemność odbiera wolę działania. -1 ciepła, -1 energii następnego dnia.","The darkness saps your will to act. -1 warmth, -1 energy the next day."
Ciemność w jaskiniach zgęstniała. Echo wraca zimniejsze niż oddech.,The dark in the caves has thickened. The echo comes back colder than breath.
Cienisty pełzacz,Shadow crawler
"Ciepła mżawka napełnia naczynia. +1 wody, -1 ciepła.","A warm drizzle fills your vessels. +1 water, -1 warmth."
"Ciepło
Spada każdej nocy.
Ognisko, schronienie i część kart pomagają utrzymać temperaturę.","Warmth
Drops every night.
A campfire, shelter and some cards help you keep the temperature up."
Ciepło %d/%d,Warmth %d/%d
Ciepło 8/10,Warmth 8/10
Ciepło jest już pełne.,Warmth is already full.
Ciepło spadło do 0: tracisz zdrowie z zimna (-%d zdrowia).,Warmth hit 0: the cold is costing you health (-%d health).
Ciepły wiatr,Warm wind
Ciepły wiatr od łąk,Warm wind from the meadows
Cierpliwie podciągasz skrzynię do brzegu.,You patiently haul the crate to the shore.
Ciesielka,Carpentry
Cisza zwierząt,Silence of the animals
Ciężki pyłek,Heavy pollen
Co noc daje 1 drewno z wyrębu.,Produces 1 wood from logging every night.
Co noc daje 1 jedzenie z grządek.,Produces 1 food from the garden beds every night.
Co noc daje 1 jedzenie z połowu.,Produces 1 food from the catch every night.
Co noc daje 1 kamień.,Produces 1 stone every night.
Co noc daje 1 wody i zwiększa limit wody.,Produces 1 water every night and raises the water cap.
"Co noc: sytość -%d, nawodnienie -%d, ciepło -%d. Budynki mogą to zmienić.","Every night: satiety -%d, hydration -%d, warmth -%d. Buildings can change this."
Combo jedzenia: +2 jedzenia za wcześniejszą kartę jedzenia.,Food combo: +2 food for an earlier food card.
"Coś dużego przedziera się przez zarośla. -1 zdrowia, -1 jedzenia (schronienie chroni).","Something big is tearing through the brush. -1 health, -1 food (shelter protects)."
Coś metalicznego błyska w wydmie. Odkopujesz przydatny kawałek. +1 kamienia.,Something metallic glints in the dune. You dig up a useful piece. +1 stone.
"Coś porusza się w skale i strop sypie się na obóz, miażdżąc zapasy. -1 kamienia, -1 zdrowia.","Something shifts in the rock and the ceiling rains down on the camp, crushing supplies. -1 stone, -1 health."
Coś szura tuż za kręgiem światła. Sprawdzisz?,Something shuffles just beyond the circle of light. Will you check?
Cuchnąca kałuża po deszczu — lepsze to niż nic.,A foul puddle after the rain — better than nothing.
Cudzy obóz wmarzł w lód w połowie ruchu. Zapasy widać pod taflą szronu.,Someone's camp froze into the ice mid-stride. You can see supplies under the sheet of frost.
Cysterna,Cistern
Czarna Rzeka,Black River
Czarna chmura dziobów. Tnie skórę i rwie strzechy.,A black cloud of beaks. It cuts skin and tears thatch.
Czarna piana,Black foam
Czarna pleśń,Black mould
"Czarna woda niesie wzdęte ścierwa, które zatruwają brzeg i odbierają apetyt. -1 jedzenia, -1 zdrowia.","Black water carries bloated carcasses that poison the shore and kill your appetite. -1 food, -1 health."
Czarne Góry,Black Mountains
"Czarne korzenie wpełzają w obóz i oplatają zapasy. -1 zdrowia, -1 energii następnego dnia.","Black roots creep into the camp and coil around your supplies. -1 health, -1 energy the next day."
Czarne krople,Black drops
Czarne słońce,Black sun
"Czarny nurt zatruwa zapas wody w obozie. -2 nawodnienia, -1 zdrowia.","The black current poisons the camp's water supply. -2 hydration, -1 health."
Czarny przybór,Black surge
"Czerpiesz garściami zimną, czystą wodę prosto z nurtu. +1 wody.","You scoop cold, clean water straight from the current with your hands. +1 water."
Czerwony przypływ,Red tide
Czuwasz całą noc. Rano jesteś zmęczony.,You keep watch all night. By morning you are exhausted.
Czuwasz przy ogniu z bronią w ręku — tej nocy mniej cię zaskoczy.,"You keep watch by the fire, weapon in hand — this night will not catch you off guard."
Czyste gwiazdy,Clear stars
Czytasz las jak otwartą księgę.,You read the forest like an open book.
"Część budynków ma aktywne akcje wykonywane za energię. Użyj akcji Ogrzej się. Pamiętaj: niektóre konstrukcje tracą HP przez użycie, pracę lub nocne zużycie.","Some buildings have active actions that cost energy. Use the Warm up action. Remember: some structures lose HP from use, work or nightly wear."
Część zapasów się psuje. -%d jedzenia.,Some of the supplies spoil. -%d food.
DZIEŃ 50,DAY 50
Daj z siebie więcej,Give it your all
Daje narzędzia po zbudowaniu. Akcja naprawia budynki na tym kaflu.,Grants tools once built. Its action repairs buildings on this tile.
Dalej,Next
Daleka wyprawa,Long expedition
Darń rozdarły świeże rysy. Ziemia drży pod każdym krokiem.,Fresh cracks have torn the turf. The ground trembles under every step.
Deszczówka,Rainwater
Dobierasz 2 karty.,You draw 2 cards.
"Dobierasz co dzień 1 kartę więcej. Zajęty planowaniem, zapomina dorzucić do ogniska (+1 ciepła/dzień) — budowanie kosztuje też +1 energii.","Draws 1 extra card each day. Too busy planning to tend the fire (+1 warmth/day) — building also costs +1 energy."
Dodaj do zapasów,Add to supplies
Dokładasz drewno do ogniska: pali się jeszcze %d nocy.,You add wood to the campfire: it will burn for %d more nights.
"Dopada cię gorączka. -2 zdrowia, -1 energii następnego dnia.","A fever takes hold of you. -2 health, -1 energy the next day."
Doraźna naprawa,Quick fix
Doraźna naprawa: %s (HP %d/%d).,Quick fix: %s (HP %d/%d).
Dostępne dopiero po katastrofie.,Available only after the disaster.
Dołożyć drewna do ogniska?,Add wood to the campfire?
Dołóż do ognia,Stoke the fire
Dołóż drewna,Add wood
Dołóż: %d drewno -> +%d noce,Add: %d wood -> +%d nights
"Drewno
Budowa, naprawy, dokładanie do ogniska i część akcji budynków.","Wood
Building, repairs, feeding the campfire and some building actions."
Drewno %d,Wood %d
Drewno 0/12,Wood 0/12
Drewno z morza,Driftwood
"Drobny deszcz pada bez końca. +2 wody, -2 ciepła (schronienie chroni).","A fine rain falls without end. +2 water, -2 warmth (shelter protects)."
Droższy ruch po mapie,Costlier movement on the map
Drugie śniadanie,Second breakfast
"Drugiego dnia odkryj sąsiedni, nieznany kafel. Odkrywanie kosztuje energię i może dodać zagrożenia danego biomu do nocnej puli wydarzeń.","On day two, discover a neighbouring unknown tile. Discovery costs energy and can add that biome's hazards to the night event pool."
"Drugiego dnia zwykle wybierasz kierunek: budować produkcję, odkrywać kafel albo ratować potrzeby.

Odkrycie nowego biomu daje więcej opcji, ale też dokłada jego nocne zagrożenia. Jeśli masz mało zasobów, czasem lepiej najpierw wzmocnić obecny kafel.","On day two you usually pick a direction: build production, discover a tile or rescue your needs.

Discovering a new biome gives more options, but also adds its night hazards. If you are low on resources, it is sometimes better to strengthen your current tile first."
Drwalnia,Logging camp
Dryfująca skrzynia,Drifting crate
Drzewa stoją czarne i nagie. Coś porusza się między pniami.,The trees stand black and bare. Something moves between the trunks.
Drżenie skał,Trembling rocks
Drżenie ziemi,Trembling earth
Duszący gaz,Choking gas
Duży ogień,Big fire
Duży ogień grzeje dodatkowo: +%d ciepła (%s).,The big fire gives extra warmth: +%d warmth (%s).
Duży ogień: +%d ciepła dodatkowo tej nocy (1 drewno + 1 energia),Big fire: +%d extra warmth tonight (1 wood + 1 energy)
Dyscyplina daje drugi oddech.,Discipline gives you a second wind.
Dzicz budzi się do życia: zbieranie jedzenia daje +1.,The wilds wake to life: gathering food gives +1.
Dzielisz się ostatkami. W zamian zdradza ci swoją kryjówkę zapasów.,You share your last scraps. In return he reveals his supply cache.
Dzień %d. Budzisz się we własnym łóżku. To był sen?,Day %d. You wake up in your own bed. Was it a dream?
Dzień %d/%d  %s,Day %d/%d  %s
Dzień 1/30,Day 1/30
Dzień 1: budowa,Day 1: building
Dzień 1: zapasy,Day 1: supplies
Dzień 2: decyzja,Day 2: the decision
Dzień dobiegł końca.,The day is over.
Dzik w ciemności,Boar in the dark
Dzikie zwierzę,Wild animal
Dziwne jagody,Strange berries
Długa mżawka,Long drizzle
Efekt,Effect
"Efekt:
-%d%% obrażeń w razie katastrofy
%d%% szans na zwykłe zużycie HP przed kryzysem
Limit: %d rejony
Zużywa się podczas katastrofy.","Effect:
-%d%% damage during the disaster
%d%% chance of normal HP wear before the crisis
Limit: %d regions
Consumed by the disaster."
Efekt: -%d%% obrażeń dla budynków tutaj w razie katastrofy.,Effect: -%d%% damage for buildings here during the disaster.
Efekty (SFX),Effects (SFX)
Efekty Pasywne,Passive Effects
Efekty pasywne,Passive effects
Efekty: %s,Effects: %s
Eksploruj,Explore
"Energia
Odnawia się o świcie do aktualnego maksimum.
Awans może zwiększać maksimum bez twardego limitu.","Energy
Restores at dawn up to your current maximum.
Level-ups can raise the maximum with no hard cap."
Energia %d,Energy %d
Energia 1,Energy 1
Energia 10/10,Energy 10/10
Fale biją cicho o oblodzone kamienie. Nad wodą wisi czarne niebo.,Waves lap quietly against ice-glazed stones. A black sky hangs over the water.
"Fale obijają się o skały w równym, odwiecznym rytmie. Zasypiasz ukojony. +1 energii następnego dnia.","The waves knock against the rocks in a steady, ancient rhythm. You fall asleep soothed. +1 energy the next day."
Farma,Farm
Filtracja zapasów,Filter supplies
Garść jagód przy ścieżce. +1 jedzenia.,A handful of berries by the path. +1 food.
"Gdy na aktualnym kaflu stoi budynek, w prawym dolnym rogu kafla pojawia się przycisk zabezpieczenia rejonu.

To ciężka decyzja przygotowawcza na wypadek katastrofy: płacisz głównie kamieniem, do tego energią i drewnem. W zamian budynki w tym rejonie dostają mniejsze obrażenia i mają tylko część szansy na codzienne lub użytkowe zużycie HP przed kryzysem. Limit zabezpieczonych rejonów jest niski, więc wybieraj bazę świadomie.","When a building stands on your current tile, a secure-region button appears in the tile's bottom-right corner.

It is a heavy preparation call for when the disaster hits: you pay mostly stone, plus energy and wood. In return, buildings in that region take less damage and only have a partial chance of daily or usage HP wear before the crisis. The limit of secured regions is low, so choose your base deliberately."
Gnijąca ruń,Rotting sward
Gnijące zapasy,Rotting supplies
"Gnilne opary znad mokradeł duszą i osłabiają. -1 zdrowia, -1 energii następnego dnia.","Putrid fumes off the marshes choke and weaken you. -1 health, -1 energy the next day."
"Gorący, trujący pył wciska się w gardło i wysusza usta. -2 nawodnienia, -1 zdrowia.","Hot, poisonous dust forces its way down your throat and dries your mouth. -2 hydration, -1 health."
Gorączka,Fever
Gotowe.,Done.
"Grunt pod obozem zamienia się w breję i wciąga część sprzętu. -1 kamienia, -1 zdrowia.","The ground under the camp turns to slurry and swallows part of your gear. -1 stone, -1 health."
Gryzonie dobrały się do zapasów. -2 jedzenia.,Rodents got into the supplies. -2 food.
"Gryzący pył wisi w powietrzu, wysusza gardło i płuca. -2 nawodnienia, -1 zdrowia.","Acrid dust hangs in the air, drying out your throat and lungs. -2 hydration, -1 health."
Grzbiety skał popękały jak glina. Z dolin dobiega głuchy huk.,The rock ridges have cracked like clay. A dull rumble carries from the valleys.
"Grzebiesz w skażonym gruzie — ostre, śliskie, trujące.","You dig through contaminated rubble — sharp, slick, poisonous."
Grzebiesz w zaropiałych zwłokach po cenniejszy łup.,You pick through festering remains for the more valuable loot.
Grzejesz dłonie przy gasnącym żarze i ruszasz dalej.,You warm your hands over the dying embers and move on.
"Grząskie mokradła pełne wody i ziół, ale wilgoć niesie choroby.","Boggy wetlands full of water and herbs, but the damp carries disease."
Grzęzawisko,Quagmire
"Góra dudni głucho, a kamienie sypią się na obóz, grzebiąc część zapasów. -1 zdrowia, -1 kamienia.","The mountain rumbles hollowly and stones rain onto the camp, burying part of your supplies. -1 health, -1 stone."
Górskie echo,Mountain echo
Góry,Mountains
Gęsta mgła,Dense fog
Gęsta mgła znad wody spowalnia poranek. -1 energii następnego dnia.,Dense fog off the water slows the morning down. -1 energy the next day.
Gęstwina zaprowadziła donikąd. -2 energii następnego dnia.,The thicket led nowhere. -2 energy the next day.
Gęsty las pełen drewna i zwierzyny. Nocą słychać wilki.,A dense forest full of wood and game. At night you hear wolves.
"Głosy z mroku nie dają zasnąć. -1 zdrowia, -1 energii następnego dnia.","Voices from the dark keep you awake. -1 health, -1 energy the next day."
Głośność główna,Master volume
Głucha cisza,Dead silence
Głód,Hunger
Głęboki sen,Deep sleep
HP 0/0,HP 0/0
Handel okazyjny,Bargain trade
Hartowanie,Hardening
Hałas w ciemności,Noise in the dark
"Idziesz po omacku ku magazynom, których nie widać.",You feel your way towards storehouses you cannot see.
"Im więcej masz już za sobą, tym sprawniej idzie reszta. Najlepsze na koniec dnia.","The more you already have behind you, the smoother the rest goes. Best at the end of the day."
Informatyk,Programmer
Jagodowa polana,Berry glade
Jak grać,How to play
Jaskinie,Caves
Jałowa ziemia,Barren ground
"Jedzenie
Zapas automatycznie zjadany nocą, gdy sytość jest niska.","Food
A supply eaten automatically at night when satiety is low."
Jedzenie %d,Food %d
Jedzenie 2/8,Food 2/8
"Jedzenie odnawia +50% głodu, zapasy psują się wolniej. Ciężkie, słone potrawy mocno wzmagają pragnienie (+2/dzień) — budowanie kosztuje też +1 energii.","Food restores +50% hunger and supplies spoil slower. Heavy, salty meals badly build thirst (+2/day) — building also costs +1 energy."
Jedzenie syci o %d%% mniej,Food is %d%% less filling
Jedzenie syci o %d%% więcej,Food is %d%% more filling
Jesień,Autumn
"Jesień
Buff: akcje z drewnem dają +1 drewna.
Debuff: brak.","Autumn
Buff: wood actions give +1 wood.
Debuff: none."
Język / Language,Language
Kadencja,Cadence
Kamieniołom,Quarry
Kamienny golem,Stone golem
"Kamień
Koszty budynków, zabezpieczanie rejonów i odbudowa po katastrofie.","Stone
Building costs, securing regions and rebuilding after the disaster."
Kamień %d,Stone %d
Kamień %d/%d,Stone %d/%d
Kamień 0/12,Stone 0/12
Kapiąca woda,Dripping water
"Karta nocy pokazuje wydarzenie, a notatka obok podsumowuje efekty dodatnie i ujemne. W tym miejscu widać również, jak budynki wpływają na wynik nocy. Po przeczytaniu kliknij Dalej w panelu nocy.","The night card shows the event, and the note beside it sums up the positive and negative effects. Here you can also see how buildings shape the night's outcome. When you have read it, click Next on the night panel."
Karta: %s,Card: %s
Karta: %s.,Card: %s.
Kartę możesz zagrać na aktualnym biomie.,You can play this card on your current biome.
Katastrofa jeszcze nie uderzyła.,The disaster has not struck yet.
"Katastrofa nadejdzie dopiero w dalszej części wyprawy. Zanim uderzy, log zacznie pokazywać niepokojące omeny.

Zabezpieczone rejony mają większą szansę ocalić kluczowe budynki. Po katastrofie odbudowa jest droższa, więc naprawiaj to, co przetrwało, rozbieraj ruiny i pilnuj ciepła, wody oraz jedzenia.","The disaster will only come later in the expedition. Before it hits, the log will start showing unsettling omens.

Secured regions have a better chance of saving your key buildings. After the disaster, rebuilding is more expensive, so repair what survived, tear down the ruins and watch your warmth, water and food."
Katastrofa: %s (dzień %d),Disaster: %s (day %d)
"Katastrofa: %s (dzień %d, po katastrofie: %d dni)","Disaster: %s (day %d, after the disaster: %d days)"
Każdego ranka leczysz się o 1 zdrowia. Najłatwiejsza klasa — w sam raz na pierwsze przejście.,You heal 1 health every morning. The easiest class — a perfect fit for a first playthrough.
Klasa: %s   ·   Poziom: %d (%d XP)   ·   Obrażenia: %d,Class: %s   ·   Level: %d (%d XP)   ·   Damage taken: %d
"Klify pękają nad morzem, a fale wpadają w świeże rany skał.","The cliffs are cracking above the sea, and the waves crash into fresh wounds in the rock."
Koniec dnia,End day
Kontynuuj,Continue
"Kopiesz po ciemku, byle głębiej.","You dig in the dark, just to go deeper."
Korony drzew łapią czarny szron. Między pniami leży nienaturalny półmrok.,The treetops catch black frost. An unnatural half-light lies between the trunks.
Korytarze wypełnia lodowata woda. Z głębi słychać puste bulgotanie.,The passages are filling with icy water. A hollow gurgling rises from the depths.
"Korzenie stoją w brudnej wodzie, a mokre pnie pękają od ciężaru.","The roots stand in dirty water, and the soaked trunks crack under the weight."
Korzystasz z okolicy,Using the local area
Koszmary,Nightmares
Koszt,Cost
"Koszt:
%s","Cost:
%s"
Koszt: %s,Cost: %s
Krucza chmara,Raven swarm
Krzaki uginają się od owoców. +2 jedzenia.,The bushes sag with fruit. +2 food.
Krzyk mew,Cry of the gulls
Ktoś tędy przechodził i coś zgubił. +1 kamienia.,Someone passed through here and dropped something. +1 stone.
Kucharz,Cook
"Kujesz w czarny lód, aż pękają palce z zimna.",You chip at the black ice until your fingers crack from the cold.
"Kurz stał się ciężkim błotem, a resztki ruin zapadają się pod wodą.","The dust has turned to heavy mud, and what is left of the ruins sinks under the water."
"Kwiaty zamarzły w pełnym rozkwicie, a trawa chrzęści jak cienkie szkło.","The flowers froze in full bloom, and the grass crunches like thin glass."
Larwy w drewnie,Grubs in the wood
Las,Forest
Las Długiego Cienia,Forest of the Long Shadow
Las budzi się chórem ptaków. Na chwilę zapominasz o strachu. +1 zdrowia.,The forest wakes with a chorus of birds. For a moment you forget your fear. +1 health.
"Las wstrzymał oddech. Ani ptaka, ani świerszcza.","The forest is holding its breath. Not a bird, not a cricket."
Las zrzuca gałęzie: akcje z drewnem dają +1 drewna.,The forest sheds its branches: wood actions give +1 wood.
Lato,Summer
"Lato
Buff: brak.
Debuff: nocny spadek nawodnienia jest o 1 mocniejszy.","Summer
Buff: none.
Debuff: nightly hydration loss is 1 point harsher."
Lazaret polowy,Field infirmary
"Lekki żołądek — głód spada wolniej (−1/dzień), ale mięsna dieta mocno wzmaga pragnienie (+2/dzień).","A light stomach — hunger drops slower (−1/day), but a meat diet badly builds thirst (+2/day)."
Lepiej głód niż zaraza. Odchodzisz.,Better hunger than plague. You walk away.
Lepiej nie ryzykować.,Better not to risk it.
Letni upał wysusza cię szybciej. -%d nawodnienia.,The summer heat dries you out faster. -%d hydration.
Limit drewna jest pełny.,The wood cap is full.
Limit jedzenia jest pełny.,The food cap is full.
Limit kamienia jest pełny.,The stone cap is full.
Limit wody jest pełny.,The water cap is full.
Limit zabezpieczonych rejonów: %d.,Secured region limit: %d.
Limit: %d zabezpieczone rejony.,Limit: %d secured regions.
"Lodowata woda sięga obozu i zalewa składowany budulec. -2 ciepła, -1 kamienia.","Icy water reaches the camp and floods the stored materials. -2 warmth, -1 stone."
"Lodowaty podmuch tnie obóz. -2 ciepła, -1 zdrowia (schronienie chroni).","An icy gust cuts through the camp. -2 warmth, -1 health (shelter protects)."
"Lodowaty wiatr niesie głosy, które wdzierają się pod skórę. -2 ciepła, -1 zdrowia.","An icy wind carries voices that crawl under your skin. -2 warmth, -1 health."
"Lodowaty, słony wicher zrywa się znad martwego morza i wdziera do obozu. -1 ciepła, -1 nawodnienia, -1 zdrowia.","An icy, salty gale rises off the dead sea and forces its way into the camp. -1 warmth, -1 hydration, -1 health."
Lodowy deszcz,Ice rain
Lodowy szept,Icy whisper
Lśniące kryształy,Gleaming crystals
Magazyn drewna,Wood storage
Magazyn kamienia,Stone storage
Martwe Wybrzeże,Dead Coast
Martwe ptaki,Dead birds
Martwe ptaki leżą pod drzewami. Żadne zwierzę ich nie tyka.,Dead birds lie under the trees. No animal will touch them.
Martwy Las,Dead Forest
Martwy upał,Dead heat
Masz już narzędzia.,You already have tools.
"Masz już oko do żerowisk — zbierasz więcej, a po wcześniejszym łupie idzie obficie.","You have an eye for feeding grounds now — you gather more, and after an earlier haul it comes in plenty."
Masz narzędzia! +%d do zysku jedzenia i drewna.,You have tools! +%d to food and wood gains.
Masz pełną rękę.,Your hand is full.
Masz w talii: %d,In your deck: %d
Małe znalezisko,Small find
Maść z ziół,Herbal salve
Menu główne,Main menu
"Mewy kołują z wrzaskiem nad brzegiem, wskazując resztki wyrzucone przez morze. +1 jedzenia.","Gulls wheel screeching over the shore, marking the scraps thrown up by the sea. +1 food."
Mgła wśród pni,Mist among the trunks
